model,threshold_selection,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,false_positives,false_negatives,true_positives,true_negatives
image_only,threshold_sweep_test_exploratory,0.70,0.9557,0.6256,0.7771,0.6932,0.9561,0.7699,73,35,122,2207
multimodal,validation_selected_f1,0.85,0.9647,0.6983,0.7962,0.7440,0.9682,0.8012,54,32,125,2226
