branch,feature,mean_abs_shap
efficientnet_b0_image_encoder,efficientnet_feature_89,0.004072410832463902
efficientnet_b0_image_encoder,efficientnet_feature_90,0.0062577009150004415
efficientnet_b0_image_encoder,efficientnet_feature_91,0.0063587030489884455
efficientnet_b0_image_encoder,efficientnet_feature_92,0.0004003747865866103
efficientnet_b0_image_encoder,efficientnet_feature_93,0.0007644680919582925
efficientnet_b0_image_encoder,efficientnet_feature_94,0.0029366428869366246
efficientnet_b0_image_encoder,efficientnet_feature_95,0.004003185981844126
efficientnet_b0_image_encoder,efficientnet_feature_96,0.0043768404095771984
efficientnet_b0_image_encoder,efficientnet_feature_97,0.0007301689570056169
efficientnet_b0_image_encoder,efficientnet_feature_98,0.0023728841717911564
efficientnet_b0_image_encoder,efficientnet_feature_99,0.003518146700827174
efficientnet_b0_image_encoder,efficientnet_feature_100,0.0004168054824802425
efficientnet_b0_image_encoder,efficientnet_feature_101,0.0010687035354806085
efficientnet_b0_image_encoder,efficientnet_feature_102,0.00359046508560823
efficientnet_b0_image_encoder,efficientnet_feature_103,0.0007127898821721601
efficientnet_b0_image_encoder,efficientnet_feature_104,0.003984099379806594
efficientnet_b0_image_encoder,efficientnet_feature_105,0.002358030699980418
efficientnet_b0_image_encoder,efficientnet_feature_106,0.0017581195854461384
efficientnet_b0_image_encoder,efficientnet_feature_107,0.005471778849027942
efficientnet_b0_image_encoder,efficientnet_feature_108,0.0003082519267998407
efficientnet_b0_image_encoder,efficientnet_feature_109,0.0033576977106974937
efficientnet_b0_image_encoder,efficientnet_feature_110,0.00593560182528563
efficientnet_b0_image_encoder,efficientnet_feature_111,0.008191512466112272
efficientnet_b0_image_encoder,efficientnet_feature_112,0.004157328167593732
efficientnet_b0_image_encoder,efficientnet_feature_113,0.004645641171464376
efficientnet_b0_image_encoder,efficientnet_feature_114,0.0022464024021360274
efficientnet_b0_image_encoder,efficientnet_feature_115,0.004116568362064754
efficientnet_b0_image_encoder,efficientnet_feature_116,0.0018351907197029504
efficientnet_b0_image_encoder,efficientnet_feature_117,0.00024080618941724197
efficientnet_b0_image_encoder,efficientnet_feature_118,0.00396238531641302
efficientnet_b0_image_encoder,efficientnet_feature_119,0.004040829779484056
efficientnet_b0_image_encoder,efficientnet_feature_120,0.005375793096504822
efficientnet_b0_image_encoder,efficientnet_feature_121,0.0017732811855850628
efficientnet_b0_image_encoder,efficientnet_feature_122,0.0007253097653912022
efficientnet_b0_image_encoder,efficientnet_feature_123,0.0006553931618711317
efficientnet_b0_image_encoder,efficientnet_feature_124,0.005657657733166843
efficientnet_b0_image_encoder,efficientnet_feature_125,0.004537572268304757
efficientnet_b0_image_encoder,efficientnet_feature_126,0.006242440111918768
efficientnet_b0_image_encoder,efficientnet_feature_127,0.0009473540447828555
efficientnet_b0_image_encoder,efficientnet_feature_128,0.005748947388894976
efficientnet_b0_image_encoder,efficientnet_feature_129,0.0029709637476571515
efficientnet_b0_image_encoder,efficientnet_feature_130,0.0026937465103031855
efficientnet_b0_image_encoder,efficientnet_feature_131,0.003026735301091321
efficientnet_b0_image_encoder,efficientnet_feature_132,0.0031942205148993708
efficientnet_b0_image_encoder,efficientnet_feature_133,0.0013402526591619335
efficientnet_b0_image_encoder,efficientnet_feature_134,0.006351275043073201
efficientnet_b0_image_encoder,efficientnet_feature_135,0.003450449117053722
efficientnet_b0_image_encoder,efficientnet_feature_136,0.0021974990421540497
efficientnet_b0_image_encoder,efficientnet_feature_137,0.0036255501688060576
efficientnet_b0_image_encoder,efficientnet_feature_138,0.004016856226030541
efficientnet_b0_image_encoder,efficientnet_feature_139,0.0051307250320178355
efficientnet_b0_image_encoder,efficientnet_feature_140,0.0018086412188687007
efficientnet_b0_image_encoder,efficientnet_feature_141,0.0072334923656285355
efficientnet_b0_image_encoder,efficientnet_feature_142,0.0003536869465676773
efficientnet_b0_image_encoder,efficientnet_feature_143,0.0009188093679028952
efficientnet_b0_image_encoder,efficientnet_feature_144,0.002361701080758394
efficientnet_b0_image_encoder,efficientnet_feature_145,0.003473333934493894
efficientnet_b0_image_encoder,efficientnet_feature_146,0.0029419438568112355
efficientnet_b0_image_encoder,efficientnet_feature_147,0.006005997118336381
efficientnet_b0_image_encoder,efficientnet_feature_148,0.0009479920411052944
efficientnet_b0_image_encoder,efficientnet_feature_149,0.005951183343768207
efficientnet_b0_image_encoder,efficientnet_feature_150,0.004286220311769284
efficientnet_b0_image_encoder,efficientnet_feature_151,0.0045062990557198646
efficientnet_b0_image_encoder,efficientnet_feature_152,0.0004278021115240449
efficientnet_b0_image_encoder,efficientnet_feature_153,0.0032547537159075546
efficientnet_b0_image_encoder,efficientnet_feature_154,0.00157101835316098
efficientnet_b0_image_encoder,efficientnet_feature_155,0.0035453098259381477
efficientnet_b0_image_encoder,efficientnet_feature_156,0.003391598261401896
efficientnet_b0_image_encoder,efficientnet_feature_157,0.0015446372343248527
efficientnet_b0_image_encoder,efficientnet_feature_158,0.004332432179239731
efficientnet_b0_image_encoder,efficientnet_feature_159,0.002104201994484356
efficientnet_b0_image_encoder,efficientnet_feature_160,0.003919057887344479
efficientnet_b0_image_encoder,efficientnet_feature_161,0.001287176857289296
efficientnet_b0_image_encoder,efficientnet_feature_162,0.0019055124408566826
efficientnet_b0_image_encoder,efficientnet_feature_163,0.0011457026131083126
efficientnet_b0_image_encoder,efficientnet_feature_164,0.0033399932430882018
efficientnet_b0_image_encoder,efficientnet_feature_165,0.006701311394863296
efficientnet_b0_image_encoder,efficientnet_feature_166,0.002747522773532296
efficientnet_b0_image_encoder,efficientnet_feature_167,0.0029108136476452273
efficientnet_b0_image_encoder,efficientnet_feature_168,0.004454496027449295
efficientnet_b0_image_encoder,efficientnet_feature_169,0.002416518203403939
efficientnet_b0_image_encoder,efficientnet_feature_170,0.00036241782388124477
efficientnet_b0_image_encoder,efficientnet_feature_171,0.0006852755625459395
efficientnet_b0_image_encoder,efficientnet_feature_172,0.004291440240990596
efficientnet_b0_image_encoder,efficientnet_feature_173,0.004760815866745816
efficientnet_b0_image_encoder,efficientnet_feature_174,0.010144436143491475
efficientnet_b0_image_encoder,efficientnet_feature_175,0.0005600166621633207
efficientnet_b0_image_encoder,efficientnet_feature_176,0.0056251256792165805
efficientnet_b0_image_encoder,efficientnet_feature_177,0.00378586534088754
efficientnet_b0_image_encoder,efficientnet_feature_178,0.0008299559148738922
efficientnet_b0_image_encoder,efficientnet_feature_179,0.0012872727987769395
efficientnet_b0_image_encoder,efficientnet_feature_180,0.0008600294061551494
efficientnet_b0_image_encoder,efficientnet_feature_181,0.0038119970679417747
efficientnet_b0_image_encoder,efficientnet_feature_182,0.0004299957208218075
efficientnet_b0_image_encoder,efficientnet_feature_183,0.0005800925324503936
efficientnet_b0_image_encoder,efficientnet_feature_184,0.0004407612190675536
efficientnet_b0_image_encoder,efficientnet_feature_185,0.0007042500265015406
efficientnet_b0_image_encoder,efficientnet_feature_186,0.0036242621113160567
efficientnet_b0_image_encoder,efficientnet_feature_187,0.004954910706942428
efficientnet_b0_image_encoder,efficientnet_feature_188,0.00024622071202706763
efficientnet_b0_image_encoder,efficientnet_feature_189,0.005650053541387479
efficientnet_b0_image_encoder,efficientnet_feature_190,0.0020580677929800117
efficientnet_b0_image_encoder,efficientnet_feature_191,0.001142405984666084
efficientnet_b0_image_encoder,efficientnet_feature_192,0.0007891436006843833
efficientnet_b0_image_encoder,efficientnet_feature_193,0.0025170337855087155
efficientnet_b0_image_encoder,efficientnet_feature_194,0.0016171731178502569
efficientnet_b0_image_encoder,efficientnet_feature_195,0.0057577119102916186
efficientnet_b0_image_encoder,efficientnet_feature_196,0.0041132708012128205
efficientnet_b0_image_encoder,efficientnet_feature_197,0.005228369434234992
efficientnet_b0_image_encoder,efficientnet_feature_198,0.005235597058344865
efficientnet_b0_image_encoder,efficientnet_feature_199,0.0018657023426555952
efficientnet_b0_image_encoder,efficientnet_feature_200,0.007513787283301099
efficientnet_b0_image_encoder,efficientnet_feature_201,0.0008559764723230501
efficientnet_b0_image_encoder,efficientnet_feature_202,0.002812945770870101
efficientnet_b0_image_encoder,efficientnet_feature_203,0.005377109510959599
efficientnet_b0_image_encoder,efficientnet_feature_204,0.007677592726224702
efficientnet_b0_image_encoder,efficientnet_feature_205,0.007339638879329868
efficientnet_b0_image_encoder,efficientnet_feature_206,0.0016446908789760073
efficientnet_b0_image_encoder,efficientnet_feature_207,0.0007927418390565322
efficientnet_b0_image_encoder,efficientnet_feature_208,0.0011922605521306195
efficientnet_b0_image_encoder,efficientnet_feature_209,0.0021151191614592335
efficientnet_b0_image_encoder,efficientnet_feature_210,0.00406181450762233
efficientnet_b0_image_encoder,efficientnet_feature_211,0.0026602124809187444
efficientnet_b0_image_encoder,efficientnet_feature_212,0.004732399405838805
efficientnet_b0_image_encoder,efficientnet_feature_213,0.0009404520132250127
efficientnet_b0_image_encoder,efficientnet_feature_214,0.00410914736119139
efficientnet_b0_image_encoder,efficientnet_feature_215,0.0011255880468183932
efficientnet_b0_image_encoder,efficientnet_feature_216,0.0012315032781344826
efficientnet_b0_image_encoder,efficientnet_feature_217,0.004097031924004568
efficientnet_b0_image_encoder,efficientnet_feature_218,0.0017147418506340273
efficientnet_b0_image_encoder,efficientnet_feature_219,0.000672050733268037
efficientnet_b0_image_encoder,efficientnet_feature_220,0.0047764844978814835
efficientnet_b0_image_encoder,efficientnet_feature_221,0.0022901307826117545
efficientnet_b0_image_encoder,efficientnet_feature_222,0.000727045068439125
efficientnet_b0_image_encoder,efficientnet_feature_223,0.002635902652855293
efficientnet_b0_image_encoder,efficientnet_feature_224,0.0017387823106389533
efficientnet_b0_image_encoder,efficientnet_feature_225,0.0025142600924823455
efficientnet_b0_image_encoder,efficientnet_feature_226,0.0019184783353125567
efficientnet_b0_image_encoder,efficientnet_feature_227,0.0059609419683965825
efficientnet_b0_image_encoder,efficientnet_feature_228,0.006596423783207683
efficientnet_b0_image_encoder,efficientnet_feature_229,0.0034219722698765054
efficientnet_b0_image_encoder,efficientnet_feature_230,0.004518753543152343
efficientnet_b0_image_encoder,efficientnet_feature_231,0.004152804173827462
efficientnet_b0_image_encoder,efficientnet_feature_232,0.0027040255293968585
efficientnet_b0_image_encoder,efficientnet_feature_233,0.009144560061145057
efficientnet_b0_image_encoder,efficientnet_feature_234,0.009390761041686346
